"DOI"
"10.2307/1941447"
"10.18637/jss.v076.i13"
"10.1007/bf01386390"
"10.3389/fdigh.2019.00005"
"10.1007/978-3-642-57991-2_6"
"10.32614/RJ-2018-009"
"10.1111/gcb.15143"
"10.1111/ecog.01714"
"10.1146/annurev-statistics-060116-054045"
